cattle_type,month,coverage_bin,coverage_label,bin_order,insured_head,endorsements,head_share,endorsement_share
fed,2016-02-01,b95_100,95--100%,5,256,4,0.836601307189543,0.8
fed,2016-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-03-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-03-01,b90_94,90--94.99%,4,50,1,0.153374233128834,0.2
fed,2016-03-01,b95_100,95--100%,5,276,4,0.846625766871166,0.8
fed,2016-05-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-05-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-05-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-05-01,b90_94,90--94.99%,4,25,1,0.00676223965377333,0.1
fed,2016-05-01,b95_100,95--100%,5,3672,9,0.993237760346227,0.9
fed,2016-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-07-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-07-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-07-01,b90_94,90--94.99%,4,0,0,0,0
fed,2016-07-01,b95_100,95--100%,5,534,3,1,1
fed,2016-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-08-01,b85_89,85--89.99%,3,15,1,0.024390243902439,0.125
fed,2016-08-01,b90_94,90--94.99%,4,0,0,0,0
fed,2016-08-01,b95_100,95--100%,5,600,7,0.975609756097561,0.875
fed,2016-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-11-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-11-01,b90_94,90--94.99%,4,0,0,0,0
fed,2016-11-01,b95_100,95--100%,5,482,10,1,1
fed,2016-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-12-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-12-01,b90_94,90--94.99%,4,0,0,0,0
fed,2016-12-01,b95_100,95--100%,5,863,12,1,1
fed,2017-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2017-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2017-01-01,b85_89,85--89.99%,3,0,0,0,0
fed,2017-01-01,b90_94,90--94.99%,4,120,2,0.158102766798419,0.25
fed,2017-01-01,b95_100,95--100%,5,639,6,0.841897233201581,0.75
fed,2017-03-01,b70_79,70--79.99%,1,0,0,0,0
