endorsement_id_full,policy_effective_date,cattle_type,cov_level_pct,coverage_bin,subsidy_amt,total_prem_amt,prod_prem_amt,observed_rate,statutory_rate,rate_gap
20548,2021-03-29,feeder,0.975,b95_100,2176,4835,2659,0.45005170630817,0.35,0.10005170630817
20569,2021-01-19,feeder,0.9885,b95_100,1517,3370,1853,0.450148367952522,0.35,0.100148367952522
20733,2021-01-12,feeder,0.954,b95_100,0,3055,3055,0,0.35,-0.35
20845,2021-01-29,feeder,0.9723,b95_100,2376,5280,2904,0.45,0.35,0.1
20851,2021-01-14,feeder,0.9552,b95_100,1628,3618,1990,0.449972360420122,0.35,0.0999723604201216
21098,2020-07-15,feeder,0.9964,b95_100,676,2702,2026,0.250185048112509,0.35,-0.0998149518874907
21232,2020-07-29,feeder,0.9988,b95_100,2020,5268,3248,0.383447228549734,0.35,0.0334472285497343
21272,2021-06-11,feeder,0.9905,b95_100,0,1995,1995,0,0.35,-0.35
21276,2021-06-11,feeder,0.9905,b95_100,0,2195,2195,0,0.35,-0.35
21286,2020-11-17,feeder,0.9814,b95_100,4046,8992,4946,0.449955516014235,0.35,0.0999555160142349
21292,2020-12-18,feeder,0.986,b95_100,3848,8552,4704,0.449953227315248,0.35,0.0999532273152479
21394,2021-01-25,feeder,1,b95_100,136,304,168,0.447368421052632,0.35,0.0973684210526316
21400,2020-07-30,feeder,0.9825,b95_100,62,138,76,0.449275362318841,0.35,0.0992753623188406
21437,2020-07-29,feeder,0.9988,b95_100,2177,5619,3442,0.387435486741413,0.35,0.0374354867414131
21444,2020-08-11,feeder,0.9887,b95_100,802,2096,1294,0.38263358778626,0.35,0.0326335877862596
21490,2021-05-13,feeder,0.9975,b95_100,793,1764,971,0.449546485260771,0.35,0.099546485260771
21498,2021-03-30,feeder,0.9957,b95_100,316,702,386,0.45014245014245,0.35,0.10014245014245
21502,2021-03-26,feeder,0.9466,b90_94,206,413,207,0.498789346246973,0.4,0.0987893462469733
21505,2021-05-26,feeder,0.997,b95_100,342,761,419,0.449408672798949,0.35,0.0994086727989488
21507,2021-05-26,feeder,0.997,b95_100,411,913,502,0.450164293537788,0.35,0.100164293537788
