cattle_type,outcome,design,window_months,fe_setup,event_time,coefficient,std_error,p_value
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,-1.46344688534737,1.12158510121564,0.1919601558341
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,-1.40551325678825,1.12622950069851,0.212037937819946
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,-1.98172631859779,1.13778958342139,0.0815550746250766
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,-1.40022206306458,1.17715077110631,0.234242563144682
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,-1.8122199177742,1.28124723315785,0.157239032039802
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,-1.37548264861107,1.12132386259627,0.219950568949259
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,-1.73375689983368,0.951821309624195,0.0685285915647862
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,-2.61195749044418,1.11850667402286,0.0195320085732454
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,-2.58771252632141,1.18133277806974,0.0284878061696595
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,-2.63535189628601,1.2584807534954,0.0362533837505975
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,-2.00109729170799,1.18561349783103,0.0914465778733699
